idx	title	type	link	agency	date
1	
65_HS1-834228961_62-HQ-83894_Section_10
	PDF	https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_10.pdf	FBI	N/A
2	
65_HS1-834228961_62-HQ-83894_Section_2
	PDF	https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_2.pdf	FBI	N/A
3	
65_HS1-834228961_62-HQ-83894_Section_3
	PDF	https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_3.pdf	FBI	N/A
4	
65_HS1-834228961_62-HQ-83894_Section_4	PDF	https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_4.pdf	FBI	N/A
5	
65_HS1-834228961_62-HQ-83894_Section_5
	PDF	https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_5.pdf	FBI	N/A
6	
65_HS1-834228961_62-HQ-83894_Section_6
	PDF	https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_6.pdf	FBI	N/A
7	
65_HS1-834228961_62-HQ-83894_Section_7
	PDF	https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_7.pdf	FBI	N/A
8	
65_HS1-834228961_62-HQ-83894_Section_9
	PDF	https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_9.pdf	FBI	N/A
9	
65_HS1-834228961_62-HQ-83894_Serial_130
	PDF	https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_130.pdf	FBI	N/A
10	
65_HS1-834228961_62-HQ-83894_Serial_153
	PDF	https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_153.pdf	FBI	N/A
11	
65_HS1-834228961_62-HQ-83894_Serial_164
	PDF	https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_164.pdf	FBI	N/A
12	
65_HS1-834228961_62-HQ-83894_Serial_220
	PDF	https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_220.pdf	FBI	N/A
13	
65_HS1-834228961_62-HQ-83894_Serial_403
	PDF	https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_403.pdf	FBI	N/A
14	
65_HS1-834228961_62-HQ-83894_Serial_438
	PDF	https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_438.pdf	FBI	N/A
15	
65_HS1-834228961_62-HQ-83894_Serial_449
	PDF	https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_449.pdf	FBI	N/A
16	
65_HS1-834228961_62-HQ-83894_SUB_A	PDF	https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_sub_a.pdf	FBI	N/A
17	18_100754_ General 1946-7_Vol_2	PDF	https://www.war.gov/medialink/ufo/release_1/18_100754_ general 1946-7_vol_2.pdf	Department of War	12/30/47
18	18_6369445_General_1948_Vol_1	PDF	https://www.war.gov/medialink/ufo/release_1/18_6369445_general_1948_vol_1.pdf	Department of War	6/15/48
19	255_413270_UFO's_and_Defense_What_Should_we_Prepare_For	PDF	https://www.war.gov/medialink/ufo/release_1/255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf	NASA	
20	NASA-UAP-D3, Gemini 7 Transcript, 1965	PDF	https://www.war.gov/medialink/ufo/release_1/255_t_763_r1b_transcripts.pdf	NASA	12/5/65
21	NASA-UAP-D3A, Gemini 7 Audio Excerpt, 1965	VID		NASA	12/5/65
22	331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents	PDF	https://www.war.gov/medialink/ufo/release_1/331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.pdf	Department of War	3/18/45
23	341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No.2_2-5300-2-5399	PDF	https://www.war.gov/medialink/ufo/release_1/341_110448_records_relating_to_the_collection_and_dissemination_of_intelligence_1948-1955-ts_cont_no.2_2-5300-2-5399.pdf	Department of War	11/8/48
24	341_110677_Numerical_File,_5-2500	PDF	https://www.war.gov/medialink/ufo/release_1/341_110677_numerical_file_5-2500.pdf	Department of War	10/14/55
25	342_HS1-416511228_319.1 Flying Discs 1949	PDF	https://www.war.gov/medialink/ufo/release_1/342_hs1-416511228_box186_319.1-flying-discs-1949.pdf	Department of War	1/9/50
26	38_143685_box_Incident_Summaries_101-172	PDF	https://www.war.gov/medialink/ufo/release_1/38_143685_box7_incident_summaries_101-172.pdf	Department of War	N/A
27	38_143685_box_Incident_Summaries_173-233	PDF	https://www.war.gov/medialink/ufo/release_1/38_143685_box7_incident_summaries_173-233.pdf	Department of War	N/A
28	38_143685_box7_Incident_Summaries_1-100	PDF	https://www.war.gov/medialink/ufo/release_1/38_143685_box7_incident_summaries_1-100.pdf	Department of War	N/A
29	59_214434_SP 16 [7.18.1963]	PDF	https://www.war.gov/medialink/ufo/release_1/59_214434_sp_16_[7.18.1963].pdf	Department of State	7/18/63
30	59_64634_711.5612[7-2852	PDF	https://www.war.gov/medialink/ufo/release_1/59_214434_sp_16_7.18.1963.pdf	Department of State	7/18/52
31	65_HS1-101634279_100-DE-18221_Serial_844	PDF	https://www.war.gov/medialink/ufo/release_1/65_hs1-101634279_100-de-18221_serial_844.pdf	FBI	4/17/58
32	65_HS1-101634279_100-DE-26505	PDF	https://www.war.gov/medialink/ufo/release_1/65_hs1-101634279_100-de-26505.pdf	FBI	11/7/57
33	65_HS1-834228961_62-HQ-83894_Section_1
